customer_id, customer_name            , customer_type, credit_terms_days, primary_freight_type, account_status, contract_start_date, annual_revenue_potential,updated_at
CUST00001  , Metro Wholesale          , Dedicated    ,60, General             , Inactive      , 2020-02-20         ,985117,2026-09-09T09:57:04.257255+00:00
CUST00002  , National Retail          , Contract     ,30, Retail              , Active        , 2021-06-02         ,4936566,2026-09-09T09:57:04.257255+00:00
CUST00003  , XYZ Industries           , Contract     ,30, Consumer Goods      , Active        , 2020-09-04         ,3102814,2026-09-09T09:57:04.257255+00:00
CUST00004  , American Corp            , Contract     ,15, Food/Beverage       , Active        , 2020-11-29         ,3948027,2026-09-09T09:57:04.257255+00:00
CUST00005  , American Distribution    , Spot         ,45, Consumer Goods      , Active        , 2020-02-04         ,3682564,2026-09-09T09:57:04.257255+00:00
CUST00006  , American Industries      , Dedicated    ,30, Consumer Goods      , Active        , 2021-02-16         ,973274,2026-09-09T09:57:04.257255+00:00
CUST00007  , Superior Distribution    , Spot         ,30, Food/Beverage       , Active        , 2021-02-05         ,1499297,2026-09-09T09:57:04.257255+00:00
CUST00008  , American Logistics       , Contract     ,30, Automotive          , Inactive      , 2021-07-23         ,1613275,2026-09-09T09:57:04.257255+00:00
CUST00009  , XYZ Wholesale            , Contract     ,30, Retail              , Inactive      , 2020-03-28         ,4713444,2026-09-09T09:57:04.257255+00:00
CUST00010  , National Logistics       , Dedicated    ,45, Automotive          , Active        , 2021-11-19         ,3468505,2026-09-09T09:57:04.257255+00:00
CUST00011  , First Group              , Dedicated    ,15, Electronics         , Active        , 2020-06-18         ,4333669,2026-09-09T09:57:04.257255+00:00
CUST00012  , ABC Distribution         , Dedicated    ,30, Electronics         , Active        , 2020-07-17         ,2931263,2026-09-09T09:57:04.257255+00:00
CUST00013  , Pacific Corp             , Dedicated    ,60, General             , Active        , 2021-08-29         ,1426880,2026-09-09T09:57:04.257255+00:00
CUST00014  , Elite Foods              , Contract     ,45, Consumer Goods      , Active        , 2021-04-17         ,4578681,2026-09-09T09:57:04.257255+00:00
CUST00015  , First Group              , Spot         ,15, Automotive          , Active        , 2020-08-27         ,3816255,2026-09-09T09:57:04.257255+00:00
CUST00016  , United Industries        , Dedicated    ,60, Food/Beverage       , Active        , 2020-03-19         ,3055508,2026-09-09T09:57:04.257255+00:00
